sequence_number,period_display_value,period_number,home_score,coordinate_x,coordinate_y,scoring_play,clock_display_value,team_id,type_id,type_text,away_score,text,score_value,participants_0_athlete_id,participants_1_athlete_id,game_id,away_team_id,away_team_name,away_team_mascot,away_team_abbrev,away_team_name_alt,home_team_id,home_team_name,home_team_mascot,home_team_abbrev,home_team_name_alt,clock_minutes,clock_seconds,half,lag_half,lead_half,game_play_number,shooter,distance,team_name,team_abbrev,shot_taken,team_record,type_of_shot
6,1st Quarter,1,0,27,2,FALSE,9:37,5,110,Driving Layup Shot,0,Danielle Robinson misses driving layup,0,1014,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,9,37,1,1,1,2,Danielle Robinson,3,Indiana,IND,1,Indiana Fever (1-11),Layup/Near Basket Shot
9,1st Quarter,1,0,37,13,FALSE,9:16,9,131,Pullup Jump Shot,0,Sabrina Ionescu misses 18-foot pullup jump shot,0,4066533,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,9,16,1,1,1,4,Sabrina Ionescu,18,New York,NY,1,New York Liberty (6-4),Midrange
13,1st Quarter,1,3,41,20,TRUE,8:47,9,92,Jump Shot,0,Michaela Onyenwere makes 26-foot three point jumper (Sami Whitcomb assists),3,4282173,887,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,8,47,1,1,1,7,Michaela Onyenwere,26,New York,NY,1,New York Liberty (6-4),3 Pointer
15,1st Quarter,1,3,35,2,FALSE,8:23,5,130,Floating Jump Shot,0,Kelsey Mitchell misses 10-foot two point shot,0,3142191,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,8,23,1,1,1,8,Kelsey Mitchell,10,Indiana,IND,1,Indiana Fever (1-11),Inside the Paint
17,1st Quarter,1,3,27,25,FALSE,8:18,5,92,Jump Shot,0,Victoria Vivians misses 25-foot three point jumper,0,3142948,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,8,18,1,1,1,10,Victoria Vivians,25,Indiana,IND,1,Indiana Fever (1-11),3 Pointer
20,1st Quarter,1,6,10,22,TRUE,8:05,9,92,Jump Shot,0,Sami Whitcomb makes 27-foot three point jumper (Kylee Shook assists),3,887,4065849,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,8,05,1,1,1,12,Sami Whitcomb,27,New York,NY,1,New York Liberty (6-4),3 Pointer
21,1st Quarter,1,6,2,8,FALSE,7:51,5,92,Jump Shot,0,Kelsey Mitchell misses 24-foot three point jumper,0,3142191,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,7,51,1,1,1,13,Kelsey Mitchell,24,Indiana,IND,1,Indiana Fever (1-11),3 Pointer
25,1st Quarter,1,6,23,3,TRUE,7:31,5,95,Layup Shot,2,Kelsey Mitchell makes layup (Danielle Robinson assists),2,3142191,1014,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,7,31,1,1,1,16,Kelsey Mitchell,4,Indiana,IND,1,Indiana Fever (1-11),Inside the Paint
27,1st Quarter,1,8,13,13,TRUE,7:12,9,92,Jump Shot,2,Kylee Shook makes 17-foot jumper (Sabrina Ionescu assists),2,4065849,4066533,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,7,12,1,1,1,17,Kylee Shook,18,New York,NY,1,New York Liberty (6-4),Midrange
29,1st Quarter,1,8,22,17,TRUE,6:58,5,131,Pullup Jump Shot,4,Kelsey Mitchell makes 18-foot pullup jump shot,2,3142191,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,6,58,1,1,1,18,Kelsey Mitchell,17,Indiana,IND,1,Indiana Fever (1-11),Midrange
